,ESA_NAME,Male,Female,months
11,Bundaberg QLD,977,718.0,AUG
12,CairnsQLD,2197,1674.0,AUG
13,Capricornia QLD,1156,889.0,AUG
14,Far North QLD,771,574.0,AUG
15,Gladstone QLD,448,325.0,AUG
16,Mackay QLD,809,668.0,AUG
17,Mt Isa QLD,536,373.0,AUG
18,Townsville QLD,1919,1449.0,AUG
19,East Gippsland VIC,425,356.0,AUG
20,Goulburn Valley VIC,863,677.0,AUG
21,Kiewa VIC,696,597.0,AUG
22,Latrobe Valley VIC,1053,932.0,AUG
23,Ovens VIC,567,504.0,AUG
24,Goldfields/Esperance,487,392.0,AUG
25,Kimberley WA,886,691.0,AUG
26,Mid West/Gascoyne,526,399.0,AUG
27,Midlands/Wheatbelt,239,166.0,AUG
28,Pilbara WA,377,317.0,AUG
29,Southern WA,1104,815.0,AUG
30,Central Coast NSW,2200,1831.0,AUG
31,Hunter NSW,846,757.0,AUG
32,Keepit NSW,739,565.0,AUG
33,Lower Hunter NSW,2589,2057.0,AUG
34,Manning NSW,712,570.0,AUG
35,Upper Hunter NSW,262,222.0,AUG
36,Bayside VIC,3013,2194.0,AUG
37,Calder VIC,2349,2106.0,AUG
38,Maroondah VIC,1322,1221.0,AUG
39,Monash VIC,1227,1272.0,AUG
40,Peninsula VIC,1277,1155.0,AUG
41,Plenty VIC,1941,1571.0,AUG
42,Westgate VIC,3514,2835.0,AUG
43,Yarra VIC,837,686.0,AUG
44,Clarence NSW,478,343.0,AUG
45,Coffs Harbour NSW,990,716.0,AUG
46,Hastings NSW,536,353.0,AUG
47,Macleay NSW,350,233.0,AUG
48,New England NSW,651,434.0,AUG
49,North Coast NSW,518,416.0,AUG
50,Richmond NSW,704,508.0,AUG
51,Tweed NSW,711,490.0,AUG
52,Alice Springs NT,810,588.0,AUG
53,Darwin NT,575,474.0,AUG
54,Katherine NT,500,372.0,AUG
55,Tennant Creek NT,271,156.0,AUG
56,Top End NT,957,693.0,AUG
57,Central/West Metro,1658,1278.0,AUG
58,Dale WA,460,403.0,AUG
59,East Metro WA,1884,1498.0,AUG
60,North Metro WA,2999,2421.0,AUG
61,Adelaide Hills SA,227,135.0,AUG
62,Fleurieu/Kangaroo Is,170,131.0,AUG
63,Gawler SA,358,302.0,AUG
64,Kadina/Clare SA,252,194.0,AUG
65,Murraylands SA,237,215.0,AUG
66,North Country SA,635,456.0,AUG
67,Port Lincoln/Ceduna,276,212.0,AUG
68,Port Pirie SA,246,142.0,AUG
69,Riverland SA,338,197.0,AUG
70,South East SA,318,258.0,AUG
71,ACT/Queanbeyan NSW,1105,834.0,AUG
72,Eurobodalla NSW,284,214.0,AUG
73,Lower South Coast,293,227.0,AUG
74,Murray Darling NSW,62,34.0,AUG
75,Shoalhaven NSW,864,603.0,AUG
76,South Eastern NSW,675,542.0,AUG
77,Southern Ranges NSW,478,418.0,AUG
78,Sturt NSW,383,325.0,AUG
79,Fraser Coast QLD,1023,733.0,AUG
80,Gympie QLD,747,526.0,AUG
81,Toowoomba QLD,986,815.0,AUG
82,Warwick QLD,384,313.0,AUG
83,Western Downs QLD,303,231.0,AUG
84,Canterbury/Bankstown,1548,1164.0,AUG
85,Central West Sydney,2183,1534.0,AUG
86,Eastern Suburbs NSW,627,455.0,AUG
87,Fairfield NSW,1302,934.0,AUG
88,Inner Sydney NSW,1160,951.0,AUG
89,Inner Western Sydney,412,279.0,AUG
90,Liverpool NSW,1161,909.0,AUG
91,Macarthur NSW,1536,1274.0,AUG
92,Nepean NSW,1763,1517.0,AUG
93,Northern Sydney NSW,850,537.0,AUG
94,Outer Western Sydney,2017,1613.0,AUG
95,St George-Sutherland,1159,914.0,AUG
96,Wollongong NSW,1803,1282.0,AUG
97,Hobart TAS,1852,1298.0,AUG
98,Launceston TAS,975,742.0,AUG
99,West and North West,840,650.0,AUG
100,Chifley NSW,311,223.0,AUG
101,Far West NSW,298,201.0,AUG
102,Gwydir Namoi NSW,383,293.0,AUG
103,Lachlan NSW,292,203.0,AUG
104,Orana NSW,674,467.0,AUG
105,Oxley NSW,125,112.0,AUG
106,Patterson NSW,633,458.0,AUG
107,Windamere NSW,303,241.0,AUG
108,Bendigo VIC,1023,871.0,AUG
109,Eureka VIC,933,767.0,AUG
110,Geelong VIC,1259,1177.0,AUG
111,Grampians VIC,260,230.0,AUG
112,Hampden VIC,429,359.0,AUG
113,Mid Murray VIC,289,239.0,AUG
114,Sunraysia VIC,490,401.0,AUG
115,Western District VIC,206,172.0,AUG
0,Eastern Adelaide SA,764,552.0,SEP
1,Northern Adelaide SA,2932,2263.0,SEP
2,Southern Adelaide SA,1701,1362.0,SEP
3,Western Adelaide SA,1395,1066.0,SEP
4,Gold Coast QLD,3459,2786.0,SEP
5,Ipswich QLD,1771,1370.0,SEP
6,Logan QLD,2973,,SEP
7,North Brisbane QLD,2664,1929.0,SEP
8,Outer North Brisbane,2155,1629.0,SEP
9,South Brisbane QLD,3560,2502.0,SEP
10,Sunshine Coast QLD,1900,1420.0,SEP
11,Bundaberg QLD,947,702.0,SEP
12,CairnsQLD,2148,1585.0,SEP
13,Capricornia QLD,1114,838.0,SEP
14,Far North QLD,766,597.0,SEP
15,Gladstone QLD,431,312.0,SEP
16,Mackay QLD,765,641.0,SEP
17,Mt Isa QLD,547,363.0,SEP
18,Townsville QLD,1842,1437.0,SEP
19,East Gippsland VIC,437,354.0,SEP
20,Goulburn Valley VIC,864,671.0,SEP
21,Kiewa VIC,664,603.0,SEP
22,Latrobe Valley VIC,1032,902.0,SEP
23,Ovens VIC,571,504.0,SEP
24,Goldfields/Esperance,470,396.0,SEP
25,Kimberley WA,870,690.0,SEP
26,Mid West/Gascoyne,533,369.0,SEP
27,Midlands/Wheatbelt,239,172.0,SEP
28,Pilbara WA,367,311.0,SEP
29,Southern WA,1068,761.0,SEP
30,Central Coast NSW,2146,1789.0,SEP
31,Hunter NSW,852,731.0,SEP
32,Keepit NSW,729,555.0,SEP
33,Lower Hunter NSW,2516,2009.0,SEP
34,Manning NSW,697,573.0,SEP
35,Upper Hunter NSW,261,221.0,SEP
36,Bayside VIC,2892,2136.0,SEP
37,Calder VIC,2276,2053.0,SEP
38,Maroondah VIC,1292,1182.0,SEP
39,Monash VIC,1187,1216.0,SEP
40,Peninsula VIC,1218,1150.0,SEP
41,Plenty VIC,1884,1547.0,SEP
42,Westgate VIC,3423,2776.0,SEP
43,Yarra VIC,829,695.0,SEP
44,Clarence NSW,488,331.0,SEP
45,Coffs Harbour NSW,992,694.0,SEP
46,Hastings NSW,510,346.0,SEP
47,Macleay NSW,348,216.0,SEP
48,New England NSW,630,420.0,SEP
49,North Coast NSW,510,404.0,SEP
50,Richmond NSW,712,524.0,SEP
51,Tweed NSW,683,483.0,SEP
52,Alice Springs NT,792,579.0,SEP
53,Darwin NT,560,465.0,SEP
54,Katherine NT,492,363.0,SEP
55,Tennant Creek NT,262,146.0,SEP
56,Top End NT,939,676.0,SEP
57,Central/West Metro,1606,1252.0,SEP
58,Dale WA,458,412.0,SEP
59,East Metro WA,1862,1449.0,SEP
60,North Metro WA,2927,2335.0,SEP
61,Adelaide Hills SA,204,145.0,SEP
62,Fleurieu/Kangaroo Is,173,127.0,SEP
63,Gawler SA,340,303.0,SEP
64,Kadina/Clare SA,246,185.0,SEP
65,Murraylands SA,244,214.0,SEP
66,North Country SA,633,458.0,SEP
67,Port Lincoln/Ceduna,274,210.0,SEP
68,Port Pirie SA,244,148.0,SEP
69,Riverland SA,332,202.0,SEP
70,South East SA,330,255.0,SEP
71,ACT/Queanbeyan NSW,1070,799.0,SEP
72,Eurobodalla NSW,289,216.0,SEP
73,Lower South Coast,267,214.0,SEP
74,Murray Darling NSW,63,36.0,SEP
75,Shoalhaven NSW,828,562.0,SEP
76,South Eastern NSW,652,537.0,SEP
77,Southern Ranges NSW,461,403.0,SEP
78,Sturt NSW,384,307.0,SEP
79,Fraser Coast QLD,1031,757.0,SEP
80,Gympie QLD,749,527.0,SEP
81,Toowoomba QLD,971,816.0,SEP
82,Warwick QLD,385,316.0,SEP
83,Western Downs QLD,316,221.0,SEP
84,Canterbury/Bankstown,1502,1125.0,SEP
85,Central West Sydney,2132,1479.0,SEP
86,Eastern Suburbs NSW,573,425.0,SEP
87,Fairfield NSW,1261,909.0,SEP
88,Inner Sydney NSW,1128,933.0,SEP
89,Inner Western Sydney,385,264.0,SEP
90,Liverpool NSW,1128,888.0,SEP
91,Macarthur NSW,1527,1237.0,SEP
92,Nepean NSW,1678,1474.0,SEP
93,Northern Sydney NSW,799,512.0,SEP
94,Outer Western Sydney,1967,1567.0,SEP
95,St George-Sutherland,1108,878.0,SEP
96,Wollongong NSW,1729,1232.0,SEP
97,Hobart TAS,1872,1301.0,SEP
98,Launceston TAS,948,723.0,SEP
99,West and North West,843,614.0,SEP
100,Chifley NSW,305,217.0,SEP
101,Far West NSW,294,220.0,SEP
102,Gwydir Namoi NSW,401,304.0,SEP
103,Lachlan NSW,294,192.0,SEP
104,Orana NSW,707,456.0,SEP
105,Oxley NSW,125,105.0,SEP
106,Patterson NSW,613,463.0,SEP
107,Windamere NSW,326,218.0,SEP
108,Bendigo VIC,1003,871.0,SEP
109,Eureka VIC,886,738.0,SEP
110,Geelong VIC,1253,1152.0,SEP
111,Grampians VIC,241,218.0,SEP
112,Hampden VIC,412,337.0,SEP
113,Mid Murray VIC,262,233.0,SEP
114,Sunraysia VIC,491,397.0,SEP
115,Western District VIC,191,159.0,SEP
0,Eastern Adelaide SA,732,558.0,OCT
1,Northern Adelaide SA,2895,2236.0,OCT
2,Southern Adelaide SA,1693,1372.0,OCT
3,Western Adelaide SA,1371,1052.0,OCT
4,Gold Coast QLD,3379,2710.0,OCT
5,Ipswich QLD,1742,1359.0,OCT
6,Logan QLD,2888,,OCT
7,North Brisbane QLD,2618,1887.0,OCT
8,Outer North Brisbane,2083,1620.0,OCT
9,South Brisbane QLD,3439,2451.0,OCT
10,Sunshine Coast QLD,1858,1400.0,OCT
11,Bundaberg QLD,945,695.0,OCT
12,CairnsQLD,2061,1563.0,OCT
13,Capricornia QLD,1080,828.0,OCT
14,Far North QLD,731,598.0,OCT
15,Gladstone QLD,445,305.0,OCT
16,Mackay QLD,729,659.0,OCT
17,Mt Isa QLD,545,335.0,OCT
18,Townsville QLD,1798,1401.0,OCT
19,East Gippsland VIC,431,357.0,OCT
20,Goulburn Valley VIC,841,676.0,OCT
21,Kiewa VIC,656,590.0,OCT
22,Latrobe Valley VIC,1015,867.0,OCT
23,Ovens VIC,560,484.0,OCT
24,Goldfields/Esperance,441,396.0,OCT
25,Kimberley WA,825,681.0,OCT
26,Mid West/Gascoyne,526,356.0,OCT
27,Midlands/Wheatbelt,217,156.0,OCT
28,Pilbara WA,364,308.0,OCT
29,Southern WA,1046,752.0,OCT
30,Central Coast NSW,2103,1756.0,OCT
31,Hunter NSW,832,731.0,OCT
32,Keepit NSW,716,542.0,OCT
33,Lower Hunter NSW,2410,1893.0,OCT
34,Manning NSW,689,573.0,OCT
35,Upper Hunter NSW,251,210.0,OCT
36,Bayside VIC,2817,2102.0,OCT
37,Calder VIC,2245,2008.0,OCT
38,Maroondah VIC,1245,1157.0,OCT
39,Monash VIC,1169,1190.0,OCT
40,Peninsula VIC,1142,1116.0,OCT
41,Plenty VIC,1828,1507.0,OCT
42,Westgate VIC,3326,2762.0,OCT
43,Yarra VIC,812,685.0,OCT
44,Clarence NSW,478,326.0,OCT
45,Coffs Harbour NSW,985,703.0,OCT
46,Hastings NSW,503,347.0,OCT
47,Macleay NSW,344,216.0,OCT
48,New England NSW,628,412.0,OCT
49,North Coast NSW,520,411.0,OCT
50,Richmond NSW,700,523.0,OCT
51,Tweed NSW,651,482.0,OCT
52,Alice Springs NT,790,552.0,OCT
53,Darwin NT,537,451.0,OCT
54,Katherine NT,490,341.0,OCT
55,Tennant Creek NT,256,145.0,OCT
56,Top End NT,931,674.0,OCT
57,Central/West Metro,1579,1265.0,OCT
58,Dale WA,455,408.0,OCT
59,East Metro WA,1849,1474.0,OCT
60,North Metro WA,2807,2260.0,OCT
61,Adelaide Hills SA,205,141.0,OCT
62,Fleurieu/Kangaroo Is,170,113.0,OCT
63,Gawler SA,326,290.0,OCT
64,Kadina/Clare SA,249,185.0,OCT
65,Murraylands SA,246,206.0,OCT
66,North Country SA,622,472.0,OCT
67,Port Lincoln/Ceduna,273,207.0,OCT
68,Port Pirie SA,247,145.0,OCT
69,Riverland SA,335,213.0,OCT
70,South East SA,321,254.0,OCT
71,ACT/Queanbeyan NSW,1046,765.0,OCT
72,Eurobodalla NSW,280,211.0,OCT
73,Lower South Coast,257,200.0,OCT
74,Murray Darling NSW,60,44.0,OCT
75,Shoalhaven NSW,808,554.0,OCT
76,South Eastern NSW,643,528.0,OCT
77,Southern Ranges NSW,443,387.0,OCT
78,Sturt NSW,371,299.0,OCT
79,Fraser Coast QLD,1006,742.0,OCT
80,Gympie QLD,739,532.0,OCT
81,Toowoomba QLD,955,795.0,OCT
82,Warwick QLD,386,298.0,OCT
83,Western Downs QLD,313,213.0,OCT
84,Canterbury/Bankstown,1463,1094.0,OCT
85,Central West Sydney,2120,1442.0,OCT
86,Eastern Suburbs NSW,555,415.0,OCT
87,Fairfield NSW,1199,905.0,OCT
88,Inner Sydney NSW,1093,881.0,OCT
89,Inner Western Sydney,375,266.0,OCT
90,Liverpool NSW,1070,827.0,OCT
91,Macarthur NSW,1494,1195.0,OCT
92,Nepean NSW,1613,1453.0,OCT
93,Northern Sydney NSW,763,502.0,OCT
94,Outer Western Sydney,1929,1532.0,OCT
95,St George-Sutherland,1080,856.0,OCT
96,Wollongong NSW,1720,1222.0,OCT
97,Hobart TAS,1841,1282.0,OCT
98,Launceston TAS,935,728.0,OCT
99,West and North West,815,627.0,OCT
100,Chifley NSW,297,213.0,OCT
101,Far West NSW,284,219.0,OCT
102,Gwydir Namoi NSW,405,300.0,OCT
103,Lachlan NSW,290,197.0,OCT
104,Orana NSW,678,457.0,OCT
105,Oxley NSW,124,104.0,OCT
106,Patterson NSW,595,444.0,OCT
107,Windamere NSW,313,217.0,OCT
108,Bendigo VIC,994,837.0,OCT
109,Eureka VIC,866,723.0,OCT
110,Geelong VIC,1214,1162.0,OCT
111,Grampians VIC,235,198.0,OCT
112,Hampden VIC,396,320.0,OCT
113,Mid Murray VIC,266,228.0,OCT
114,Sunraysia VIC,480,393.0,OCT
115,Western District VIC,190,161.0,OCT
0,Eastern Adelaide SA,717,576.0,NOV
1,Northern Adelaide SA,2886,2267.0,NOV
2,Southern Adelaide SA,1748,1377.0,NOV
3,Western Adelaide SA,1373,1067.0,NOV
4,Gold Coast QLD,3319,2746.0,NOV
5,Ipswich QLD,1763,1398.0,NOV
6,Logan QLD,2953,2310.0,NOV
7,North Brisbane QLD,2641,1950.0,NOV
8,Outer North Brisbane,2094,1697.0,NOV
9,South Brisbane QLD,3451,2478.0,NOV
10,Sunshine Coast QLD,1903,1435.0,NOV
11,Bundaberg QLD,981,732.0,NOV
12,CairnsQLD,2072,1602.0,NOV
13,Capricornia QLD,1109,842.0,NOV
14,Far North QLD,735,575.0,NOV
15,Gladstone QLD,443,309.0,NOV
16,Mackay QLD,790,675.0,NOV
17,Mt Isa QLD,514,332.0,NOV
18,Townsville QLD,1780,1409.0,NOV
19,East Gippsland VIC,432,357.0,NOV
20,Goulburn Valley VIC,860,698.0,NOV
21,Kiewa VIC,664,605.0,NOV
22,Latrobe Valley VIC,1027,894.0,NOV
23,Ovens VIC,569,472.0,NOV
24,Goldfields/Esperance,462,372.0,NOV
25,Kimberley WA,850,680.0,NOV
26,Mid West/Gascoyne,520,359.0,NOV
27,Midlands/Wheatbelt,235,155.0,NOV
28,Pilbara WA,341,293.0,NOV
29,Southern WA,1050,765.0,NOV
30,Central Coast NSW,2117,1798.0,NOV
31,Hunter NSW,849,718.0,NOV
32,Keepit NSW,710,554.0,NOV
33,Lower Hunter NSW,2481,1916.0,NOV
34,Manning NSW,704,585.0,NOV
35,Upper Hunter NSW,246,216.0,NOV
36,Bayside VIC,2853,2145.0,NOV
37,Calder VIC,2274,2063.0,NOV
38,Maroondah VIC,1281,1208.0,NOV
39,Monash VIC,1156,1168.0,NOV
40,Peninsula VIC,1163,1166.0,NOV
41,Plenty VIC,1798,1612.0,NOV
42,Westgate VIC,3343,2843.0,NOV
43,Yarra VIC,808,716.0,NOV
44,Clarence NSW,487,323.0,NOV
45,Coffs Harbour NSW,982,676.0,NOV
46,Hastings NSW,512,365.0,NOV
47,Macleay NSW,348,218.0,NOV
48,New England NSW,615,431.0,NOV
49,North Coast NSW,533,424.0,NOV
50,Richmond NSW,718,521.0,NOV
51,Tweed NSW,673,472.0,NOV
52,Alice Springs NT,755,499.0,NOV
53,Darwin NT,505,444.0,NOV
54,Katherine NT,509,348.0,NOV
55,Tennant Creek NT,251,139.0,NOV
56,Top End NT,912,682.0,NOV
57,Central/West Metro,1564,1225.0,NOV
58,Dale WA,438,420.0,NOV
59,East Metro WA,1796,1450.0,NOV
60,North Metro WA,2747,2261.0,NOV
61,Adelaide Hills SA,192,151.0,NOV
62,Fleurieu/Kangaroo Is,173,101.0,NOV
63,Gawler SA,322,302.0,NOV
