,ESA_NAME,Male,Female,months
70,South East SA,309,264.0,JUL
71,ACT/Queanbeyan NSW,1097,881.0,JUL
72,Eurobodalla NSW,291,190.0,JUL
73,Lower South Coast,278,214.0,JUL
74,Murray Darling NSW,59,38.0,JUL
75,Shoalhaven NSW,818,533.0,JUL
76,South Eastern NSW,695,543.0,JUL
77,Southern Ranges NSW,449,376.0,JUL
78,Sturt NSW,350,349.0,JUL
79,Fraser Coast QLD,1098,809.0,JUL
80,Gympie QLD,758,533.0,JUL
81,Toowoomba QLD,1011,829.0,JUL
82,Warwick QLD,325,259.0,JUL
83,Western Downs QLD,292,235.0,JUL
84,Canterbury/Bankstown,1364,,JUL
85,Central West Sydney,1976,1406.0,JUL
86,Eastern Suburbs NSW,543,418.0,JUL
87,Fairfield NSW,1234,832.0,JUL
88,Inner Sydney NSW,1035,858.0,JUL
89,Inner Western Sydney,321,249.0,JUL
90,Liverpool NSW,1078,860.0,JUL
91,Macarthur NSW,1405,1185.0,JUL
92,Nepean NSW,1613,1369.0,JUL
93,Northern Sydney NSW,665,501.0,JUL
94,Outer Western Sydney,1915,1556.0,JUL
95,St George-Sutherland,1078,858.0,JUL
96,Wollongong NSW,1641,1182.0,JUL
97,Hobart TAS,1829,1245.0,JUL
98,Launceston TAS,973,787.0,JUL
99,West and North West,835,611.0,JUL
100,Chifley NSW,294,212.0,JUL
101,Far West NSW,278,186.0,JUL
102,Gwydir Namoi NSW,360,291.0,JUL
103,Lachlan NSW,288,229.0,JUL
104,Orana NSW,651,475.0,JUL
105,Oxley NSW,122,83.0,JUL
106,Patterson NSW,556,447.0,JUL
107,Windamere NSW,309,218.0,JUL
108,Bendigo VIC,875,778.0,JUL
109,Eureka VIC,919,799.0,JUL
110,Geelong VIC,1209,1181.0,JUL
111,Grampians VIC,226,182.0,JUL
112,Hampden VIC,384,346.0,JUL
113,Mid Murray VIC,223,188.0,JUL
114,Sunraysia VIC,512,404.0,JUL
115,Western District VIC,188,152.0,JUL
0,Eastern Adelaide SA,713,534.0,AUG
1,Northern Adelaide SA,2990,2373.0,AUG
2,Southern Adelaide SA,1796,1336.0,AUG
3,Western Adelaide SA,1424,1017.0,AUG
4,Gold Coast QLD,3447,2851.0,AUG
5,Ipswich QLD,1676,1367.0,AUG
6,Logan QLD,2946,2318.0,AUG
7,North Brisbane QLD,2526,1817.0,AUG
8,Outer North Brisbane,2142,1657.0,AUG
9,South Brisbane QLD,3199,2349.0,AUG
10,Sunshine Coast QLD,1913,1411.0,AUG
11,Bundaberg QLD,1027,730.0,AUG
12,CairnsQLD,2128,1528.0,AUG
13,Capricornia QLD,974,740.0,AUG
14,Far North QLD,654,534.0,AUG
15,Gladstone QLD,330,301.0,AUG
16,Mackay QLD,698,658.0,AUG
17,Mt Isa QLD,476,334.0,AUG
18,Townsville QLD,1625,1333.0,AUG
19,East Gippsland VIC,394,365.0,AUG
20,Goulburn Valley VIC,805,562.0,AUG
21,Kiewa VIC,637,543.0,AUG
22,Latrobe Valley VIC,984,902.0,AUG
23,Ovens VIC,503,459.0,AUG
24,Goldfields/Esperance,449,313.0,AUG
25,Kimberley WA,855,651.0,AUG
26,Mid West/Gascoyne,490,417.0,AUG
27,Midlands/Wheatbelt,248,159.0,AUG
28,Pilbara WA,369,319.0,AUG
29,Southern WA,1129,832.0,AUG
30,Central Coast NSW,2046,1600.0,AUG
31,Hunter NSW,788,659.0,AUG
32,Keepit NSW,658,523.0,AUG
33,Lower Hunter NSW,2371,1818.0,AUG
34,Manning NSW,713,506.0,AUG
35,Upper Hunter NSW,239,212.0,AUG
36,Bayside VIC,2702,2015.0,AUG
37,Calder VIC,2219,1902.0,AUG
38,Maroondah VIC,1149,1199.0,AUG
39,Monash VIC,1150,1224.0,AUG
40,Peninsula VIC,1159,1152.0,AUG
41,Plenty VIC,1773,1562.0,AUG
42,Westgate VIC,3194,2770.0,AUG
43,Yarra VIC,792,701.0,AUG
44,Clarence NSW,478,333.0,AUG
45,Coffs Harbour NSW,932,655.0,AUG
46,Hastings NSW,469,340.0,AUG
47,Macleay NSW,296,208.0,AUG
48,New England NSW,582,380.0,AUG
49,North Coast NSW,485,376.0,AUG
50,Richmond NSW,688,461.0,AUG
51,Tweed NSW,677,503.0,AUG
52,Alice Springs NT,703,492.0,AUG
53,Darwin NT,553,477.0,AUG
54,Katherine NT,531,346.0,AUG
55,Tennant Creek NT,233,140.0,AUG
56,Top End NT,922,676.0,AUG
57,Central/West Metro,1508,1169.0,AUG
58,Dale WA,468,415.0,AUG
59,East Metro WA,1714,1414.0,AUG
60,North Metro WA,2692,2127.0,AUG
61,Adelaide Hills SA,222,143.0,AUG
62,Fleurieu/Kangaroo Is,176,128.0,AUG
63,Gawler SA,362,287.0,AUG
64,Kadina/Clare SA,228,187.0,AUG
65,Murraylands SA,252,232.0,AUG
66,North Country SA,642,479.0,AUG
67,Port Lincoln/Ceduna,286,229.0,AUG
68,Port Pirie SA,210,145.0,AUG
69,Riverland SA,300,213.0,AUG
70,South East SA,327,255.0,AUG
71,ACT/Queanbeyan NSW,1015,837.0,AUG
72,Eurobodalla NSW,281,190.0,AUG
73,Lower South Coast,281,197.0,AUG
74,Murray Darling NSW,62,37.0,AUG
75,Shoalhaven NSW,821,556.0,AUG
76,South Eastern NSW,678,535.0,AUG
77,Southern Ranges NSW,424,360.0,AUG
78,Sturt NSW,337,332.0,AUG
79,Fraser Coast QLD,1089,783.0,AUG
80,Gympie QLD,735,535.0,AUG
81,Toowoomba QLD,932,774.0,AUG
82,Warwick QLD,333,251.0,AUG
83,Western Downs QLD,253,207.0,AUG
84,Canterbury/Bankstown,1299,,AUG
85,Central West Sydney,1924,1352.0,AUG
86,Eastern Suburbs NSW,538,419.0,AUG
87,Fairfield NSW,1161,806.0,AUG
88,Inner Sydney NSW,1019,820.0,AUG
89,Inner Western Sydney,309,234.0,AUG
90,Liverpool NSW,1024,831.0,AUG
91,Macarthur NSW,1280,1098.0,AUG
92,Nepean NSW,1577,1319.0,AUG
93,Northern Sydney NSW,638,476.0,AUG
94,Outer Western Sydney,1865,1500.0,AUG
95,St George-Sutherland,1039,806.0,AUG
96,Wollongong NSW,1613,1182.0,AUG
97,Hobart TAS,1840,1257.0,AUG
98,Launceston TAS,996,772.0,AUG
99,West and North West,832,611.0,AUG
100,Chifley NSW,288,207.0,AUG
101,Far West NSW,269,182.0,AUG
102,Gwydir Namoi NSW,371,283.0,AUG
103,Lachlan NSW,275,230.0,AUG
104,Orana NSW,640,481.0,AUG
105,Oxley NSW,124,84.0,AUG
106,Patterson NSW,550,455.0,AUG
107,Windamere NSW,301,211.0,AUG
108,Bendigo VIC,867,765.0,AUG
109,Eureka VIC,902,762.0,AUG
110,Geelong VIC,1212,1147.0,AUG
111,Grampians VIC,245,185.0,AUG
112,Hampden VIC,376,343.0,AUG
113,Mid Murray VIC,206,188.0,AUG
114,Sunraysia VIC,513,417.0,AUG
115,Western District VIC,185,156.0,AUG
0,Eastern Adelaide SA,703,522.0,SEP
1,Northern Adelaide SA,3012,2359.0,SEP
2,Southern Adelaide SA,1807,1338.0,SEP
3,Western Adelaide SA,1420,1001.0,SEP
4,Gold Coast QLD,3341,2718.0,SEP
5,Ipswich QLD,1638,1372.0,SEP
6,Logan QLD,2901,2280.0,SEP
7,North Brisbane QLD,2494,1735.0,SEP
8,Outer North Brisbane,2065,1609.0,SEP
9,South Brisbane QLD,3122,2302.0,SEP
10,Sunshine Coast QLD,1860,1384.0,SEP
11,Bundaberg QLD,1009,718.0,SEP
12,CairnsQLD,2084,1516.0,SEP
13,Capricornia QLD,932,705.0,SEP
14,Far North QLD,646,524.0,SEP
15,Gladstone QLD,318,289.0,SEP
16,Mackay QLD,659,616.0,SEP
17,Mt Isa QLD,449,327.0,SEP
18,Townsville QLD,1605,1302.0,SEP
19,East Gippsland VIC,404,369.0,SEP
20,Goulburn Valley VIC,823,574.0,SEP
21,Kiewa VIC,648,544.0,SEP
22,Latrobe Valley VIC,1001,870.0,SEP
23,Ovens VIC,508,436.0,SEP
24,Goldfields/Esperance,449,324.0,SEP
25,Kimberley WA,841,649.0,SEP
26,Mid West/Gascoyne,485,395.0,SEP
27,Midlands/Wheatbelt,254,159.0,SEP
28,Pilbara WA,372,318.0,SEP
29,Southern WA,1083,822.0,SEP
30,Central Coast NSW,1973,1567.0,SEP
31,Hunter NSW,783,646.0,SEP
32,Keepit NSW,651,516.0,SEP
33,Lower Hunter NSW,2318,1794.0,SEP
34,Manning NSW,726,498.0,SEP
35,Upper Hunter NSW,224,203.0,SEP
36,Bayside VIC,2675,1991.0,SEP
37,Calder VIC,2181,1863.0,SEP
38,Maroondah VIC,1112,1174.0,SEP
39,Monash VIC,1165,1220.0,SEP
40,Peninsula VIC,1142,1142.0,SEP
41,Plenty VIC,1742,1507.0,SEP
42,Westgate VIC,3225,2732.0,SEP
43,Yarra VIC,809,664.0,SEP
44,Clarence NSW,462,349.0,SEP
45,Coffs Harbour NSW,938,649.0,SEP
46,Hastings NSW,459,346.0,SEP
47,Macleay NSW,283,210.0,SEP
48,New England NSW,584,401.0,SEP
49,North Coast NSW,480,370.0,SEP
50,Richmond NSW,696,470.0,SEP
51,Tweed NSW,647,478.0,SEP
52,Alice Springs NT,695,496.0,SEP
53,Darwin NT,573,476.0,SEP
54,Katherine NT,518,338.0,SEP
55,Tennant Creek NT,220,150.0,SEP
56,Top End NT,941,694.0,SEP
57,Central/West Metro,1456,1166.0,SEP
58,Dale WA,451,398.0,SEP
59,East Metro WA,1670,1377.0,SEP
60,North Metro WA,2679,2147.0,SEP
61,Adelaide Hills SA,228,144.0,SEP
62,Fleurieu/Kangaroo Is,177,127.0,SEP
63,Gawler SA,348,286.0,SEP
64,Kadina/Clare SA,217,182.0,SEP
65,Murraylands SA,241,230.0,SEP
66,North Country SA,644,470.0,SEP
67,Port Lincoln/Ceduna,298,220.0,SEP
68,Port Pirie SA,209,146.0,SEP
69,Riverland SA,308,208.0,SEP
70,South East SA,340,252.0,SEP
71,ACT/Queanbeyan NSW,990,846.0,SEP
72,Eurobodalla NSW,271,183.0,SEP
73,Lower South Coast,274,187.0,SEP
74,Murray Darling NSW,59,36.0,SEP
75,Shoalhaven NSW,807,537.0,SEP
76,South Eastern NSW,648,538.0,SEP
77,Southern Ranges NSW,438,353.0,SEP
78,Sturt NSW,343,314.0,SEP
79,Fraser Coast QLD,1059,753.0,SEP
80,Gympie QLD,722,527.0,SEP
81,Toowoomba QLD,938,719.0,SEP
82,Warwick QLD,319,241.0,SEP
83,Western Downs QLD,267,202.0,SEP
84,Canterbury/Bankstown,1251,,SEP
85,Central West Sydney,1890,1345.0,SEP
86,Eastern Suburbs NSW,517,399.0,SEP
87,Fairfield NSW,1130,768.0,SEP
88,Inner Sydney NSW,988,819.0,SEP
89,Inner Western Sydney,323,221.0,SEP
90,Liverpool NSW,1006,799.0,SEP
91,Macarthur NSW,1259,1091.0,SEP
92,Nepean NSW,1516,1293.0,SEP
93,Northern Sydney NSW,600,470.0,SEP
94,Outer Western Sydney,1805,1438.0,SEP
95,St George-Sutherland,990,814.0,SEP
96,Wollongong NSW,1569,1159.0,SEP
97,Hobart TAS,1828,1253.0,SEP
98,Launceston TAS,986,755.0,SEP
99,West and North West,831,593.0,SEP
100,Chifley NSW,287,200.0,SEP
101,Far West NSW,281,170.0,SEP
102,Gwydir Namoi NSW,367,282.0,SEP
103,Lachlan NSW,263,232.0,SEP
104,Orana NSW,616,490.0,SEP
105,Oxley NSW,126,89.0,SEP
106,Patterson NSW,540,436.0,SEP
107,Windamere NSW,298,204.0,SEP
108,Bendigo VIC,832,730.0,SEP
109,Eureka VIC,891,758.0,SEP
110,Geelong VIC,1181,1156.0,SEP
111,Grampians VIC,234,175.0,SEP
112,Hampden VIC,381,322.0,SEP
113,Mid Murray VIC,199,185.0,SEP
114,Sunraysia VIC,506,412.0,SEP
115,Western District VIC,186,139.0,SEP
0,Eastern Adelaide SA,682,531.0,OCT
1,Northern Adelaide SA,2972,2371.0,OCT
2,Southern Adelaide SA,1802,1327.0,OCT
3,Western Adelaide SA,1389,977.0,OCT
4,Gold Coast QLD,3296,2688.0,OCT
5,Ipswich QLD,1593,1338.0,OCT
6,Logan QLD,2896,2273.0,OCT
7,North Brisbane QLD,2416,1727.0,OCT
8,Outer North Brisbane,2035,1583.0,OCT
9,South Brisbane QLD,3059,2223.0,OCT
10,Sunshine Coast QLD,1818,1335.0,OCT
11,Bundaberg QLD,974,713.0,OCT
12,CairnsQLD,2038,1527.0,OCT
13,Capricornia QLD,907,697.0,OCT
14,Far North QLD,634,514.0,OCT
15,Gladstone QLD,288,268.0,OCT
16,Mackay QLD,610,579.0,OCT
17,Mt Isa QLD,443,328.0,OCT
18,Townsville QLD,1620,1333.0,OCT
19,East Gippsland VIC,386,365.0,OCT
20,Goulburn Valley VIC,821,572.0,OCT
21,Kiewa VIC,634,536.0,OCT
22,Latrobe Valley VIC,1005,865.0,OCT
23,Ovens VIC,492,441.0,OCT
24,Goldfields/Esperance,453,319.0,OCT
25,Kimberley WA,844,655.0,OCT
26,Mid West/Gascoyne,485,377.0,OCT
27,Midlands/Wheatbelt,237,157.0,OCT
28,Pilbara WA,334,314.0,OCT
29,Southern WA,1067,801.0,OCT
30,Central Coast NSW,1973,1545.0,OCT
31,Hunter NSW,743,638.0,OCT
32,Keepit NSW,659,529.0,OCT
33,Lower Hunter NSW,2260,1759.0,OCT
34,Manning NSW,715,519.0,OCT
35,Upper Hunter NSW,213,190.0,OCT
36,Bayside VIC,2614,1978.0,OCT
37,Calder VIC,2116,1859.0,OCT
38,Maroondah VIC,1052,1116.0,OCT
39,Monash VIC,1151,1232.0,OCT
40,Peninsula VIC,1108,1095.0,OCT
41,Plenty VIC,1734,1498.0,OCT
42,Westgate VIC,3202,2738.0,OCT
43,Yarra VIC,802,626.0,OCT
44,Clarence NSW,463,342.0,OCT
45,Coffs Harbour NSW,914,653.0,OCT
46,Hastings NSW,459,353.0,OCT
47,Macleay NSW,270,205.0,OCT
48,New England NSW,574,406.0,OCT
49,North Coast NSW,488,383.0,OCT
50,Richmond NSW,685,485.0,OCT
51,Tweed NSW,654,459.0,OCT
52,Alice Springs NT,687,467.0,OCT
53,Darwin NT,566,464.0,OCT
54,Katherine NT,516,325.0,OCT
55,Tennant Creek NT,206,157.0,OCT
56,Top End NT,937,699.0,OCT
57,Central/West Metro,1363,1137.0,OCT
58,Dale WA,440,404.0,OCT
59,East Metro WA,1643,1383.0,OCT
60,North Metro WA,2658,2142.0,OCT
61,Adelaide Hills SA,236,142.0,OCT
62,Fleurieu/Kangaroo Is,167,129.0,OCT
63,Gawler SA,343,269.0,OCT
64,Kadina/Clare SA,230,176.0,OCT
65,Murraylands SA,234,234.0,OCT
66,North Country SA,625,490.0,OCT
67,Port Lincoln/Ceduna,305,228.0,OCT
68,Port Pirie SA,199,148.0,OCT
69,Riverland SA,289,201.0,OCT
70,South East SA,322,261.0,OCT
71,ACT/Queanbeyan NSW,967,812.0,OCT
72,Eurobodalla NSW,291,179.0,OCT
73,Lower South Coast,255,191.0,OCT
74,Murray Darling NSW,57,36.0,OCT
75,Shoalhaven NSW,788,530.0,OCT
76,South Eastern NSW,625,537.0,OCT
77,Southern Ranges NSW,421,324.0,OCT
78,Sturt NSW,358,319.0,OCT
79,Fraser Coast QLD,1025,749.0,OCT
80,Gympie QLD,727,523.0,OCT
81,Toowoomba QLD,886,682.0,OCT
82,Warwick QLD,321,235.0,OCT
83,Western Downs QLD,265,212.0,OCT
84,Canterbury/Bankstown,1207,,OCT
85,Central West Sydney,1811,1363.0,OCT
86,Eastern Suburbs NSW,485,377.0,OCT
87,Fairfield NSW,1111,762.0,OCT
88,Inner Sydney NSW,986,768.0,OCT
89,Inner Western Sydney,306,220.0,OCT
90,Liverpool NSW,971,772.0,OCT
91,Macarthur NSW,1238,1087.0,OCT
92,Nepean NSW,1459,1273.0,OCT
93,Northern Sydney NSW,604,465.0,OCT
94,Outer Western Sydney,1773,1391.0,OCT
95,St George-Sutherland,923,774.0,OCT
96,Wollongong NSW,1566,1152.0,OCT
97,Hobart TAS,1803,1225.0,OCT
98,Launceston TAS,996,736.0,OCT
99,West and North West,843,591.0,OCT
100,Chifley NSW,270,202.0,OCT
101,Far West NSW,268,170.0,OCT
102,Gwydir Namoi NSW,359,281.0,OCT
103,Lachlan NSW,253,214.0,OCT
104,Orana NSW,635,483.0,OCT
105,Oxley NSW,128,83.0,OCT
106,Patterson NSW,516,447.0,OCT
107,Windamere NSW,287,202.0,OCT
108,Bendigo VIC,828,718.0,OCT
109,Eureka VIC,864,751.0,OCT
110,Geelong VIC,1191,1155.0,OCT
111,Grampians VIC,221,167.0,OCT
112,Hampden VIC,362,306.0,OCT
113,Mid Murray VIC,206,182.0,OCT
114,Sunraysia VIC,508,406.0,OCT
115,Western District VIC,195,147.0,OCT
0,Eastern Adelaide SA,709,544.0,NOV
1,Northern Adelaide SA,2964,2404.0,NOV
2,Southern Adelaide SA,1836,1292.0,NOV
3,Western Adelaide SA,1339,972.0,NOV
4,Gold Coast QLD,3252,2629.0,NOV
5,Ipswich QLD,1591,1369.0,NOV
6,Logan QLD,2866,2287.0,NOV
7,North Brisbane QLD,2401,1798.0,NOV
8,Outer North Brisbane,2091,1587.0,NOV
9,South Brisbane QLD,3072,2239.0,NOV
10,Sunshine Coast QLD,1790,1342.0,NOV
11,Bundaberg QLD,1015,745.0,NOV
12,CairnsQLD,2034,1512.0,NOV
13,Capricornia QLD,909,701.0,NOV
14,Far North QLD,624,496.0,NOV
15,Gladstone QLD,284,247.0,NOV
16,Mackay QLD,588,569.0,NOV
17,Mt Isa QLD,452,333.0,NOV
18,Townsville QLD,1611,1340.0,NOV
19,East Gippsland VIC,395,365.0,NOV
20,Goulburn Valley VIC,807,578.0,NOV
21,Kiewa VIC,639,563.0,NOV
22,Latrobe Valley VIC,1013,849.0,NOV
23,Ovens VIC,482,464.0,NOV
24,Goldfields/Esperance,424,308.0,NOV
25,Kimberley WA,844,657.0,NOV
26,Mid West/Gascoyne,470,381.0,NOV
27,Midlands/Wheatbelt,246,163.0,NOV
28,Pilbara WA,331,302.0,NOV
29,Southern WA,1022,814.0,NOV
30,Central Coast NSW,1946,1568.0,NOV
31,Hunter NSW,771,650.0,NOV
32,Keepit NSW,662,544.0,NOV
33,Lower Hunter NSW,2206,1750.0,NOV
34,Manning NSW,712,520.0,NOV
35,Upper Hunter NSW,201,200.0,NOV
36,Bayside VIC,2588,2017.0,NOV
37,Calder VIC,2086,1890.0,NOV
38,Maroondah VIC,1068,1096.0,NOV
39,Monash VIC,1180,1260.0,NOV
40,Peninsula VIC,1099,1103.0,NOV
41,Plenty VIC,1742,1540.0,NOV
42,Westgate VIC,3236,2783.0,NOV
43,Yarra VIC,774,682.0,NOV
44,Clarence NSW,471,341.0,NOV
45,Coffs Harbour NSW,906,672.0,NOV
46,Hastings NSW,473,357.0,NOV
47,Macleay NSW,272,212.0,NOV
48,New England NSW,556,407.0,NOV
49,North Coast NSW,489,407.0,NOV
50,Richmond NSW,705,535.0,NOV
51,Tweed NSW,668,470.0,NOV
52,Alice Springs NT,689,476.0,NOV
53,Darwin NT,556,449.0,NOV
54,Katherine NT,507,325.0,NOV
55,Tennant Creek NT,209,149.0,NOV
56,Top End NT,950,718.0,NOV
57,Central/West Metro,1398,1111.0,NOV
58,Dale WA,410,398.0,NOV
59,East Metro WA,1606,1340.0,NOV
60,North Metro WA,2585,2097.0,NOV
61,Adelaide Hills SA,216,143.0,NOV
62,Fleurieu/Kangaroo Is,166,126.0,NOV
63,Gawler SA,354,261.0,NOV
64,Kadina/Clare SA,226,183.0,NOV
65,Murraylands SA,244,227.0,NOV
66,North Country SA,636,478.0,NOV
67,Port Lincoln/Ceduna,292,209.0,NOV
68,Port Pirie SA,202,145.0,NOV
69,Riverland SA,290,199.0,NOV
70,South East SA,316,272.0,NOV
71,ACT/Queanbeyan NSW,969,813.0,NOV
72,Eurobodalla NSW,290,187.0,NOV
73,Lower South Coast,264,207.0,NOV
74,Murray Darling NSW,56,39.0,NOV
75,Shoalhaven NSW,785,545.0,NOV
76,South Eastern NSW,646,527.0,NOV
77,Southern Ranges NSW,417,353.0,NOV
78,Sturt NSW,371,325.0,NOV
79,Fraser Coast QLD,1047,782.0,NOV
80,Gympie QLD,760,525.0,NOV
81,Toowoomba QLD,873,719.0,NOV
82,Warwick QLD,325,248.0,NOV
83,Western Downs QLD,270,216.0,NOV
84,Canterbury/Bankstown,1225,1032.0,NOV
85,Central West Sydney,1855,1409.0,NOV
86,Eastern Suburbs NSW,493,386.0,NOV
87,Fairfield NSW,1082,742.0,NOV
88,Inner Sydney NSW,952,759.0,NOV
89,Inner Western Sydney,306,223.0,NOV
90,Liverpool NSW,989,771.0,NOV
91,Macarthur NSW,1273,1113.0,NOV
92,Nepean NSW,1483,1290.0,NOV
93,Northern Sydney NSW,596,470.0,NOV
94,Outer Western Sydney,1769,1404.0,NOV
95,St George-Sutherland,930,760.0,NOV
96,Wollongong NSW,1580,1193.0,NOV
97,Hobart TAS,1815,1239.0,NOV
98,Launceston TAS,1000,768.0,NOV
99,West and North West,843,598.0,NOV
100,Chifley NSW,269,216.0,NOV
101,Far West NSW,272,168.0,NOV
102,Gwydir Namoi NSW,378,292.0,NOV
103,Lachlan NSW,241,201.0,NOV
104,Orana NSW,642,482.0,NOV
105,Oxley NSW,119,75.0,NOV
106,Patterson NSW,511,442.0,NOV
107,Windamere NSW,302,204.0,NOV
108,Bendigo VIC,862,744.0,NOV
109,Eureka VIC,882,775.0,NOV
110,Geelong VIC,1241,1194.0,NOV
111,Grampians VIC,208,169.0,NOV
112,Hampden VIC,382,317.0,NOV
113,Mid Murray VIC,192,190.0,NOV
114,Sunraysia VIC,509,408.0,NOV
115,Western District VIC,187,168.0,NOV
0,Eastern Adelaide SA,719,656.0,DEC
1,Northern Adelaide SA,3129,2512.0,DEC
2,Southern Adelaide SA,1916,1399.0,DEC
3,Western Adelaide SA,1389,1038.0,DEC
4,Gold Coast QLD,3312,2670.0,DEC
5,Ipswich QLD,1612,1371.0,DEC
6,Logan QLD,2925,2363.0,DEC
7,North Brisbane QLD,2436,1863.0,DEC
8,Outer North Brisbane,2130,1687.0,DEC
9,South Brisbane QLD,3178,2328.0,DEC
10,Sunshine Coast QLD,1847,1409.0,DEC
11,Bundaberg QLD,1024,754.0,DEC
12,CairnsQLD,2057,1529.0,DEC
13,Capricornia QLD,930,731.0,DEC
14,Far North QLD,627,481.0,DEC
15,Gladstone QLD,281,255.0,DEC
16,Mackay QLD,635,561.0,DEC
17,Mt Isa QLD,442,328.0,DEC
18,Townsville QLD,1629,1354.0,DEC
19,East Gippsland VIC,428,386.0,DEC
20,Goulburn Valley VIC,865,622.0,DEC
21,Kiewa VIC,661,586.0,DEC
22,Latrobe Valley VIC,1032,914.0,DEC
23,Ovens VIC,487,493.0,DEC
24,Goldfields/Esperance,436,305.0,DEC
25,Kimberley WA,796,623.0,DEC
26,Mid West/Gascoyne,489,401.0,DEC
27,Midlands/Wheatbelt,253,167.0,DEC
28,Pilbara WA,316,281.0,DEC
29,Southern WA,1050,852.0,DEC
30,Central Coast NSW,1974,1628.0,DEC
31,Hunter NSW,792,683.0,DEC
32,Keepit NSW,673,572.0,DEC
33,Lower Hunter NSW,2263,1815.0,DEC
34,Manning NSW,725,551.0,DEC
35,Upper Hunter NSW,211,188.0,DEC
36,Bayside VIC,2770,2130.0,DEC
37,Calder VIC,2109,1985.0,DEC
38,Maroondah VIC,1100,1154.0,DEC
39,Monash VIC,1237,1290.0,DEC
40,Peninsula VIC,1169,1153.0,DEC
41,Plenty VIC,1892,1658.0,DEC
42,Westgate VIC,3382,2928.0,DEC
43,Yarra VIC,793,750.0,DEC
44,Clarence NSW,451,349.0,DEC
45,Coffs Harbour NSW,906,689.0,DEC
46,Hastings NSW,467,379.0,DEC
47,Macleay NSW,277,221.0,DEC
48,New England NSW,564,435.0,DEC
49,North Coast NSW,502,438.0,DEC
50,Richmond NSW,739,549.0,DEC
51,Tweed NSW,670,468.0,DEC
52,Alice Springs NT,670,473.0,DEC
53,Darwin NT,540,446.0,DEC
54,Katherine NT,483,307.0,DEC
55,Tennant Creek NT,212,146.0,DEC
56,Top End NT,915,710.0,DEC
57,Central/West Metro,1418,1192.0,DEC
58,Dale WA,436,390.0,DEC
59,East Metro WA,1651,1348.0,DEC
60,North Metro WA,2619,2142.0,DEC
61,Adelaide Hills SA,221,145.0,DEC
62,Fleurieu/Kangaroo Is,179,141.0,DEC
63,Gawler SA,370,270.0,DEC
64,Kadina/Clare SA,224,200.0,DEC
65,Murraylands SA,245,219.0,DEC
66,North Country SA,643,486.0,DEC
67,Port Lincoln/Ceduna,283,225.0,DEC
68,Port Pirie SA,209,147.0,DEC
69,Riverland SA,318,212.0,DEC
70,South East SA,314,298.0,DEC
71,ACT/Queanbeyan NSW,1026,892.0,DEC
72,Eurobodalla NSW,317,191.0,DEC
73,Lower South Coast,266,217.0,DEC
74,Murray Darling NSW,52,41.0,DEC
75,Shoalhaven NSW,814,550.0,DEC
76,South Eastern NSW,652,556.0,DEC
77,Southern Ranges NSW,422,367.0,DEC
78,Sturt NSW,367,330.0,DEC
79,Fraser Coast QLD,1088,815.0,DEC
80,Gympie QLD,777,564.0,DEC
81,Toowoomba QLD,950,784.0,DEC
82,Warwick QLD,310,262.0,DEC
83,Western Downs QLD,275,229.0,DEC
84,Canterbury/Bankstown,1250,1066.0,DEC
85,Central West Sydney,1928,1529.0,DEC
86,Eastern Suburbs NSW,498,420.0,DEC
87,Fairfield NSW,1105,785.0,DEC
88,Inner Sydney NSW,967,815.0,DEC
89,Inner Western Sydney,309,242.0,DEC
90,Liverpool NSW,996,808.0,DEC
91,Macarthur NSW,1289,1148.0,DEC
92,Nepean NSW,1566,1356.0,DEC
93,Northern Sydney NSW,626,513.0,DEC
94,Outer Western Sydney,1783,1473.0,DEC
95,St George-Sutherland,982,849.0,DEC
96,Wollongong NSW,1634,1270.0,DEC
97,Hobart TAS,1872,1299.0,DEC
98,Launceston TAS,1031,834.0,DEC
99,West and North West,852,623.0,DEC
100,Chifley NSW,275,220.0,DEC
101,Far West NSW,270,178.0,DEC
102,Gwydir Namoi NSW,383,279.0,DEC
103,Lachlan NSW,236,214.0,DEC
104,Orana NSW,649,482.0,DEC
105,Oxley NSW,116,77.0,DEC
106,Patterson NSW,510,454.0,DEC
107,Windamere NSW,311,220.0,DEC
108,Bendigo VIC,915,832.0,DEC
109,Eureka VIC,917,839.0,DEC
110,Geelong VIC,1299,1246.0,DEC
111,Grampians VIC,219,186.0,DEC
112,Hampden VIC,384,361.0,DEC
113,Mid Murray VIC,206,210.0,DEC
114,Sunraysia VIC,510,412.0,DEC
115,Western District VIC,189,173.0,DEC
0,Eastern Adelaide SA,710,647.0,JAN
1,Northern Adelaide SA,3178,2601.0,JAN
2,Southern Adelaide SA,1960,1466.0,JAN
3,Western Adelaide SA,1482,1073.0,JAN
4,Gold Coast QLD,3429,2799.0,JAN
5,Ipswich QLD,1690,1419.0,JAN
6,Logan QLD,3082,2418.0,JAN
7,North Brisbane QLD,2588,1972.0,JAN
8,Outer North Brisbane,2237,1779.0,JAN
9,South Brisbane QLD,3360,2511.0,JAN
10,Sunshine Coast QLD,1902,1433.0,JAN
11,Bundaberg QLD,1074,819.0,JAN
12,CairnsQLD,2123,1577.0,JAN
13,Capricornia QLD,976,762.0,JAN
14,Far North QLD,649,507.0,JAN
15,Gladstone QLD,298,262.0,JAN
16,Mackay QLD,694,594.0,JAN
17,Mt Isa QLD,488,341.0,JAN
18,Townsville QLD,1689,1383.0,JAN
